epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,234.094,0.27915,0.19348,0.82574,0.99908,1,0.995,0.97742,0.26509,0.16929,0.82603,0.000416,0.000416,0.000416
162,235.542,0.27767,0.1886,0.81663,0.99908,1,0.995,0.97008,0.27538,0.17145,0.8247,0.0004061,0.0004061,0.0004061
163,236.996,0.28013,0.19138,0.83491,0.99894,1,0.995,0.979,0.26887,0.16602,0.82311,0.0003962,0.0003962,0.0003962
164,238.447,0.29631,0.20627,0.84446,0.99888,1,0.995,0.97818,0.28862,0.17566,0.82242,0.0003863,0.0003863,0.0003863
165,239.884,0.27672,0.19654,0.84528,0.99902,1,0.995,0.97069,0.28767,0.17586,0.82575,0.0003764,0.0003764,0.0003764
166,241.34,0.27975,0.19603,0.83202,0.9991,1,0.995,0.95704,0.28931,0.19299,0.8267,0.0003665,0.0003665,0.0003665
167,242.796,0.28505,0.19586,0.84077,0.99914,1,0.995,0.95329,0.28698,0.19409,0.82672,0.0003566,0.0003566,0.0003566
168,244.252,0.27483,0.19345,0.8232,0.99917,1,0.995,0.97973,0.28696,0.18081,0.8269,0.0003467,0.0003467,0.0003467
169,245.697,0.28124,0.20206,0.83105,0.99917,1,0.995,0.96965,0.28929,0.18538,0.82249,0.0003368,0.0003368,0.0003368
170,247.142,0.26832,0.19304,0.81205,0.99917,1,0.995,0.96775,0.28701,0.18254,0.82382,0.0003269,0.0003269,0.0003269
171,248.604,0.26927,0.18552,0.82175,0.99917,1,0.995,0.96252,0.31296,0.19191,0.82881,0.000317,0.000317,0.000317
172,250.061,0.27346,0.18909,0.82237,0.99916,1,0.995,0.96861,0.27647,0.176,0.82652,0.0003071,0.0003071,0.0003071
173,251.51,0.27565,0.19199,0.82841,0.99914,1,0.995,0.96872,0.27502,0.1729,0.82414,0.0002972,0.0002972,0.0002972
174,252.957,0.26187,0.18603,0.82026,0.99914,1,0.995,0.97116,0.27211,0.16464,0.82426,0.0002873,0.0002873,0.0002873
175,254.402,0.25538,0.17961,0.82135,0.99916,1,0.995,0.96866,0.27674,0.15868,0.8229,0.0002774,0.0002774,0.0002774
176,255.856,0.27714,0.19388,0.83821,0.99917,1,0.995,0.9682,0.27837,0.17218,0.82189,0.0002675,0.0002675,0.0002675
177,257.296,0.26604,0.18476,0.82462,0.99917,1,0.995,0.97138,0.27898,0.1704,0.822,0.0002576,0.0002576,0.0002576
178,258.744,0.27508,0.19272,0.82875,0.99918,1,0.995,0.97636,0.27465,0.16565,0.82196,0.0002477,0.0002477,0.0002477
179,260.196,0.26453,0.18291,0.83602,0.99916,1,0.995,0.97923,0.26765,0.15312,0.82214,0.0002378,0.0002378,0.0002378
180,261.647,0.2659,0.18157,0.82072,0.99915,1,0.995,0.97509,0.26527,0.15388,0.82298,0.0002279,0.0002279,0.0002279
181,263.095,0.25899,0.17486,0.82314,0.99916,1,0.995,0.98003,0.2587,0.16055,0.82276,0.000218,0.000218,0.000218
182,264.541,0.25668,0.18093,0.81708,0.99917,1,0.995,0.98268,0.25491,0.15609,0.82365,0.0002081,0.0002081,0.0002081
183,266.005,0.26579,0.18369,0.82896,0.99917,1,0.995,0.97312,0.26179,0.16155,0.82545,0.0001982,0.0001982,0.0001982
184,267.458,0.26079,0.17795,0.82739,0.99918,1,0.995,0.97136,0.26183,0.15427,0.82598,0.0001883,0.0001883,0.0001883
185,268.902,0.24121,0.16787,0.80882,0.99919,1,0.995,0.97962,0.25841,0.15485,0.82419,0.0001784,0.0001784,0.0001784
186,270.352,0.267,0.18592,0.83056,0.99918,1,0.995,0.97114,0.26303,0.16323,0.82235,0.0001685,0.0001685,0.0001685
187,271.809,0.25381,0.17448,0.82368,0.99917,1,0.995,0.97442,0.2737,0.17536,0.8238,0.0001586,0.0001586,0.0001586
188,273.271,0.25745,0.17065,0.83551,0.99914,1,0.995,0.9749,0.26868,0.1714,0.82348,0.0001487,0.0001487,0.0001487
189,274.714,0.24395,0.16963,0.82888,0.99914,1,0.995,0.97263,0.26839,0.15917,0.82266,0.0001388,0.0001388,0.0001388
